id,name,latitude,longitude,dep_count,dep_mean,dep_min,dep_max,dep_median,arr_count,arr_mean,arr_min,arr_max,arr_median,statusValue,totalDocks
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,6629,945.322069694,62,21353,711.0,7153,798.044037467,61,16908,515.0,In Service,23
243,Fulton St & Rockwell Pl,40.688226,-73.979382,7187,749.59788507,60,18375,492.0,8937,601.288911268,60,20680,390.0,In Service,31
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,7365,738.94161575,60,20705,481.0,6543,760.518416628,60,15044,550.0,In Service,31
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,4290,755.647086247,60,16505,432.0,3865,894.211125485,60,12614,568.0,In Service,23
247,Perry St & Bleecker St,40.73535398,-74.00483091,23888,827.245604488,60,21347,619.0,24177,832.444058403,60,20670,643.0,In Service,20
248,Laight St & Hudson St,40.72185379,-74.00771779,9152,909.623907343,60,21275,746.0,9046,909.217333628,60,21265,709.0,In Service,23
249,Harrison St & Hudson St,40.71870987,-74.0090009,15753,845.456294039,60,20400,646.0,15888,762.397218026,60,21543,549.0,In Service,27
250,Lafayette St & Jersey St,40.72456089,-73.99565293,60895,723.764660481,60,21569,542.0,61721,752.511592489,60,21354,576.0,In Service,40
251,Mott St & Prince St,40.72317958,-73.99480012,38630,818.901113125,60,21420,612.0,39590,816.350366254,60,21338,643.0,In Service,27
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,30645,750.09505629,60,21109,551.0,30887,713.337358759,60,20276,537.0,In Service,33
253,W 13 St & 5 Ave,40.73543934,-73.99453948,26968,710.676320083,60,20345,544.0,27211,709.386240858,60,21018,552.0,In Service,55
254,W 11 St & 6 Ave,40.73532427,-73.99800419,20785,704.324609093,60,20519,535.0,20700,664.754444444,60,21081,509.0,In Service,31
255,NYCBS Depot - SSP,40.646768,-74.01651,15,1848.73333333,60,8185,1607.0,57,2123.80701754,60,9506,2118.0,In Service,34
257,Lispenard St & Broadway,40.71939226,-74.00247214,26658,804.534661265,60,21373,584.0,27430,818.861611374,60,21505,605.0,In Service,39
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,9022,711.136555088,60,21296,372.0,7410,922.779892038,60,18726,605.0,In Service,23
259,South St & Whitehall St,40.70122128,-74.01234218,20612,1408.70279449,60,21142,1251.0,21188,1195.29516708,60,21142,1039.0,In Service,39
260,Broad St & Bridge St,40.70365182,-74.01167797,11786,1101.16095367,62,20423,937.0,14532,961.475433526,60,21525,720.0,In Service,35
261,Johnson St & Gold St,40.69474881,-73.98362464,10719,925.659109992,62,18242,611.0,10746,917.312116136,62,19046,606.0,In Service,27
262,Washington Park,40.69178232,-73.97372989,7145,606.134079776,61,16722,347.0,5184,694.878472222,61,17096,423.0,In Service,24
263,Elizabeth St & Hester St,40.71729,-73.996375,31281,854.128672357,60,21180,702.0,30664,868.195180016,60,20693,713.0,In Service,31
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,18889,932.398644714,60,21543,725.0,19483,853.777908946,60,21483,646.0,In Service,27
265,Stanton St & Chrystie St,40.72229346,-73.99147535,29195,763.743963007,60,21081,536.0,29801,807.676923593,60,21593,630.0,In Service,35
